2025-11-20T21:53:11.994194 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T21:53:43.563809 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T21:53:46.489232 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T21:56:52.500215 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T21:56:54.865566 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:06.382513 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:09.311692 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:21.972941 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:25.555727 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:42.595805 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:50.231774 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:02:58.576996 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:03:04.803571 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:08:06.027266 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:08:11.923888 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:08:28.184092 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T22:08:35.742871 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:50:44.949045 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
