2025-05-27T11:34:03.095749 - New user added
2025-05-27T11:34:19.303879 - User accepted by admin
2025-05-27T11:34:23.228912 - Web activity reported
2025-05-27T11:34:23.349958 - Activity updated
User Logs:
  PID: 91, Name: idle_inject/1, CPU: 0.0%, Memory: 0.0%
  PID: 92, Name: migration/1, CPU: 0.0%, Memory: 0.0%
  PID: 93, Name: ksoftirqd/1, CPU: 0.0%, Memory: 0.0%
  PID: 95, Name: kworker/1:0H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 96, Name: cpuhp/3, CPU: 0.0%, Memory: 0.0%
  PID: 97, Name: idle_inject/3, CPU: 0.0%, Memory: 0.0%
  PID: 98, Name: migration/3, CPU: 0.0%, Memory: 0.0%
  PID: 99, Name: ksoftirqd/3, CPU: 0.0%, Memory: 0.0%
  PID: 101, Name: kworker/3:0H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 102, Name: cpuhp/5, CPU: 0.0%, Memory: 0.0%
  PID: 103, Name: idle_inject/5, CPU: 0.0%, Memory: 0.0%
  PID: 104, Name: migration/5, CPU: 0.0%, Memory: 0.0%
  PID: 105, Name: ksoftirqd/5, CPU: 0.0%, Memory: 0.0%
  PID: 107, Name: kworker/5:0H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 108, Name: cpuhp/7, CPU: 0.0%, Memory: 0.0%
  PID: 109, Name: idle_inject/7, CPU: 0.0%, Memory: 0.0%
  PID: 110, Name: migration/7, CPU: 0.0%, Memory: 0.0%
  PID: 111, Name: ksoftirqd/7, CPU: 0.0%, Memory: 0.0%
  PID: 113, Name: kworker/7:0H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 119, Name: kdevtmpfs, CPU: 0.0%, Memory: 0.0%
  PID: 120, Name: kworker/R-inet_frag_wq, CPU: 0.0%, Memory: 0.0%
  PID: 121, Name: kauditd, CPU: 0.0%, Memory: 0.0%
  PID: 122, Name: khungtaskd, CPU: 0.0%, Memory: 0.0%
  PID: 123, Name: oom_reaper, CPU: 0.0%, Memory: 0.0%
  PID: 124, Name: kworker/R-writeback, CPU: 0.0%, Memory: 0.0%
  PID: 125, Name: kcompactd0, CPU: 0.0%, Memory: 0.0%
  PID: 126, Name: ksmd, CPU: 0.0%, Memory: 0.0%
  PID: 127, Name: khugepaged, CPU: 0.0%, Memory: 0.0%
  PID: 128, Name: kworker/R-kintegrityd, CPU: 0.0%, Memory: 0.0%
  PID: 129, Name: kworker/R-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 130, Name: kworker/R-blkcg_punt_bio, CPU: 0.0%, Memory: 0.0%
  PID: 131, Name: irq/9-acpi, CPU: 0.0%, Memory: 0.0%
  PID: 138, Name: kworker/15:1-mm_percpu_wq, CPU: 0.0%, Memory: 0.0%
  PID: 140, Name: kworker/R-tpm_dev_wq, CPU: 0.0%, Memory: 0.0%
  PID: 141, Name: kworker/R-edac-poller, CPU: 0.0%, Memory: 0.0%
  PID: 142, Name: kworker/R-devfreq_wq, CPU: 0.0%, Memory: 0.0%
  PID: 143, Name: kworker/12:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 144, Name: kswapd0, CPU: 0.0%, Memory: 0.0%
  PID: 151, Name: kworker/R-kthrotld, CPU: 0.0%, Memory: 0.0%
  PID: 155, Name: irq/123-pciehp, CPU: 0.0%, Memory: 0.0%
  PID: 156, Name: kworker/R-acpi_thermal_pm, CPU: 0.0%, Memory: 0.0%
  PID: 157, Name: hwrng, CPU: 0.0%, Memory: 0.0%
  PID: 158, Name: kworker/R-hfi-updates, CPU: 0.0%, Memory: 0.0%
  PID: 160, Name: kworker/R-mld, CPU: 0.0%, Memory: 0.0%
  PID: 161, Name: kworker/R-ipv6_addrconf, CPU: 0.0%, Memory: 0.0%
  PID: 162, Name: kworker/14:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 173, Name: kworker/R-kstrp, CPU: 0.0%, Memory: 0.0%
  PID: 235, Name: kworker/2:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 265, Name: kworker/10:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 266, Name: kworker/15:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 280, Name: kworker/9:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 281, Name: kworker/6:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 283, Name: kworker/8:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 292, Name: kworker/4:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 296, Name: kworker/5:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 297, Name: kworker/0:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 298, Name: kworker/11:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 301, Name: kworker/7:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 303, Name: kworker/1:1H-kblockd, CPU: 0.0%, Memory: 0.0%
  PID: 328, Name: kworker/3:1-events, CPU: 0.0%, Memory: 0.0%
  PID: 330, Name: kworker/R-cryptd, CPU: 0.0%, Memory: 0.0%
  PID: 333, Name: watchdogd, CPU: 0.0%, Memory: 0.0%
  PID: 421, Name: kworker/13:1H-events_highpri, CPU: 0.0%, Memory: 0.0%
  PID: 422, Name: irq/177-ELAN0518:01, CPU: 0.0%, Memory: 0.0%
  PID: 427, Name: kworker/R-USBC000:00-con1, CPU: 0.0%, Memory: 0.0%
  PID: 433, Name: kworker/R-nvme-wq, CPU: 0.0%, Memory: 0.0%
  PID: 434, Name: kworker/R-nvme-reset-wq, CPU: 0.0%, Memory: 0.0%
